planetary data from https://nssdc.gsfc.nasa.gov/planetary/factsheet/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Name,Group,Mass (10^24kg),Diameter (km),Density (kg/m3),Gravity (m/s2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Parent (10^6 km),Radius Min (10^6 km),Radius Max (10^6 km),Perihelion (10^6 km),Aphelion (10^6 km),Orbital Period (days),Orbital Velocity (km/s),Orbital Inclination (degrees),Orbital Eccentricity,Obliquity to Orbit (degrees),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System,Global Magnetic Field,Graphic Distance,Graphic Length of Day (hours),Graphic Distance,Graphics Radius Minimum,Graphics Radius Maximum,Graphic Orbital Period (days),Graphic Red,Graphic Green,Graphic Blue,Graphic  Page,Graphics Section,Graphics Rings Section,
Type,Name,Grou,Mass,Diam,Dens,Grav,EscVel,RotPer,DayLen,Dist,RadMin,RadMax,Peri,Aphe,OrbPer,OrbVel,OrbInc,OrbEcc,OrbObl,Temp,SurPre,Moon,Ring,MagFie,GfxDia,GfxDayLen,GfxDis,GfxRadMin,GfxRadMax,GfxOrbPer,GfxRed,GfxGre,GfxBlu,GfxPag,GfxSec,GfxRngPag,GfxRngSec
Star,Sun,System,1988500,1391400,1408,274,617.6,609.12,576,0,,,0,0,0,0,0,0,7.25,5772,0.868,0,0,1,1,576,0,0,0,0,1,1,0,0,1,0,0
Planet,Mercury,Sun,0.33,4879,5427,3.7,4.3,1407.6,4222.6,57.9,,,46,69.8,88,47.4,7,0.205,0.034,167,0,0,0,1,0.2,4222.6,0.06,0,0,88,0.8,0.6,0.6,1,1,0,0
Planet,Venus,Sun,4.87,12104,5243,8.9,10.4,5832.5,2802,108.2,,,107.5,108.9,224.7,35,3.4,0.007,177.4,464,92,0,0,0,0.3,2802,0.1,0,0,224.7,1,1,0.5,1,2,0,0
Planet,Earth,Sun,5.97,12756,5514,9.8,11.2,23.9345,24,149.6,,,147.1,152.1,365.2,29.8,0,0.017,23.4,15,1,1,0,1,0.3,24,0.14,0,0.2,365.2,0,1,0.5,2,1,0,0
Moon,Moon,Earth,0.073,3475,3340,1.6,2.4,655.7,708.7,0.384,,,0.363,0.406,27.3,1,5.1,0.055,6.7,-20,0,0,0,0,0,708.7,0,0,0.2,27.3,0,1,0.5,0,2,0,0
Planet,Mars,Sun,0.642,6792,3933,3.7,5,24.623,24.7,227.9,,,206.6,249.2,687,24.1,1.9,0.094,25.2,-65,0.01,2,0,0,0.25,24.7,0.18,0,0,687,1,0.3,0.1,2,2,0,0
Moon,Phobos,Mars,,3000,,,,,24.7,0.06,,,,,200,,,,,,,,0,0,0,24.7,0,0,0,200,1,0.3,0.1,3,1,0,0
Moon,Deimos,Mars,,3000,,,,,24.7,0.3,,,,,400,,,,,,,,0,0,0,24.7,0,0,0,400,1,0.3,0.1,3,2,0,0
Asteroid,Ceres 1,Sun,,945,,0.28,0.051,,8,415,,,2.5577,2.9773,1681.63,17.905,10.593,0.075,,,,,0,0,0.00189,8,0.28,0,0,1681.63,1,1,1,7,1,0,0
Asteroid,Pallas 2,Sun,,512,,,,,7.8132,414,,,2.1336,3.4119,1684.869,17,34.837,0.2305,,,,,0,0,0.001024,7.8132,0.26,0,0,1684.869,1,1,1,7,2,0,0
Asteroid,Juno 3,Sun,,233,,,,,8,399,,,1.988,3.35293,1593.962876,17.93,12.98,0.255,,,,,0,0,0.000466,8,0.24,0,0,1593.962876,1,1,1,7,2,0,0
Asteroid,Vesta 4,Sun,,525.4,,,,,8,353,,,2.15221,2.57138,1325.75,19.34,7.14,0.08874,,,,,0,0,0.0010508,8,0.22,0,0,1325.75,1,1,1,7,2,0,0
Asteroid,Hygiea 10,Sun,,431,,,,,8,470,,,2.7817,3.5024,2034.787,16.76,3.877,0.1356,,,,,0,0,0.000862,8,0.3,0,0,2034.787,1,1,1,7,2,0,0
AstRing,MB Zone 1,Sun,,500,,,,,350,0,308,374,,,1300,,,,,,,,0,0,0.008,350,0,0.22,0.24,1300,1,0.6,0.3,7,2,0,0
AstRing,MB Zone 2,Sun,,500,,,,,400,0,390,422,,,1600,,,,,,,,0,0,0.008,400,0,0.25,0.27,1600,1,0.6,0.3,7,7,0,0
AstRing,MB Zone 3,Sun,,500,,,,,450,0,440,490,,,2000,,,,,,,,0,0,0.008,450,0,0.28,0.3,2000,1,0.6,0.3,7,2,0,0
GasGiant,Jupiter,Sun,1898,142984,1326,23.1,59.5,9.925,9.9,778.6,0.1,0.15,740.5,816.6,4331,13.1,1.3,0.049,3.1,-110,-1,67,1,1,0.7,9.9,0.4,0.5,0.6,4331,1,0.5,1,4,1,11,2
Moon,Io,Jupiter,893.2,3642,3530,,,,0,0.4218,,,,,170,,0.04,0.004,,,,,0,0,0,0,0,0,0,170,1,0.5,1,8,1,0,0
Moon,Europa,Jupiter,480,3120,3010,,,,0,0.6711,,,,,350,,0.47,0.009,,,,,0,0,0,0,0,0,0,350,1,0.5,1,8,2,0,0
Moon,Ganymede,Jupiter,1481.9,5262,1940,,,,0,1.0704,,,,,716,,0.18,0.001,,,,,0,0,0,0,0,0,0,716,1,0.5,1,9,1,0,0
Moon,Callisto,Jupiter,1075.9,4820,1830,,,,0,1.8827,,,,,1668,,0.19,0.007,,,,,0,0,0,0,0,0,0,1668,1,0.5,1,9,2,0,0
GasGiant,Saturn,Sun,568,120536,687,9,35.5,10.656,10.7,1433.5,0.075,0.15,1352.6,1514.5,10747,9.7,2.5,0.057,26.7,-140,-1,62,1,1,0.6,10.7,0.6,0.35,0.6,10747,1,0.8,0.4,4,2,11,1
Moon,Mimas,Saturn,0.379,416,1150,,,,0,0.18552,,,,,94.24,,1.53,0.0202,,,,,0,0,0,0,0,0,0,94.24,1,0.8,0.4,10,2,0,0
Moon,Enceladus,Saturn,1.08,514,1610,,,,0,0.23802,,,,,137.02,,0,0.0045,,,,,0,0,0,0,0,0,0,137.02,1,0.8,0.4,10,2,0,0
Moon,Tethys,Saturn,6.18,1076,985,,,,0,0.29466,,,,,188.78,,1.86,0,,,,,0,0,0,0,0,0,0,188.78,1,0.8,0.4,10,2,0,0
Moon,Dione,Saturn,11,1126,1480,,,,0,0.3774,,,,,273.69,,0.02,0.0022,,,,,0,0,0,0,0,0,0,273.69,1,0.8,0.4,10,2,0,0
Moon,Rhea,Saturn,23.1,1530,1240,,,,0,0.52704,,,,,451.75,,0.35,0.001,,,,,0,0,0,0,0,0,0,451.75,1,0.8,0.4,10,2,0,0
Moon,Titan,Saturn,1345.5,10000,1880,,,,0,1.22183,,,,,1594,,0.33,0.0292,,,,,0,0,0,0,0,0,0,1594,1,0.8,0.4,10,1,0,0
Moon,Hyperion,Saturn,0.056,360,550,,,,0,1.4811,,,,,2127.66,,0.43,0.1042,,,,,0,0,0,0,0,0,0,2127.66,1,0.8,0.4,10,2,0,0
Moon,Iapetus,Saturn,18.1,1492,1090,,,,0,3.5613,,,,,7933.02,,14.72,0.0283,,,,,0,0,0,0,0,0,0,7933.02,1,0.8,0.4,10,2,0,0
GasGiant,Uranus,Sun,86.8,51118,1271,8.7,21.3,-17.24,17.2,2872.5,0.035,0.45,2741.3,3003.6,30589,6.8,0.8,0.046,97.8,-195,-1,27,1,1,0.5,17.2,0.8,0.4,0.5,30589,0.4,0.6,1,5,1,11,3
Moon,Miranda,Uranus,0.66,480,1200,,,,0,0.1299,,,,,141.34,,4.34,0.0013,,,,,0,0,0,0,0,0,0,141.34,0.4,0.6,1,10,2,0,0
Moon,Ariel,Uranus,12.9,1160,1590,,,,0,0.199,,,,,252.06,,0.04,0.0012,,,,,0,0,0,0,0,0,0,252.06,0.4,0.6,1,10,2,0,0
Moon,Umbriel,Uranus,12.2,1168,1460,,,,0,0.266,,,,,414.41,,0.13,0.0039,,,,,0,0,0,0,0,0,0,414.41,0.4,0.6,1,10,2,0,0
Moon,Titania,Uranus,34.2,1577.8,1660,,,,0,0.4363,,,,,870.56,,0.08,0.0011,,,,,0,0,0,0,0,0,0,870.56,0.4,0.6,1,10,2,0,0
Moon,Oberon,Uranus,28.8,1522.8,1560,,,,0,0.5385,,,,,1346.32,,0.07,0.0014,,,,,0,0,0,0,0,0,0,1346.32,0.4,0.6,1,10,2,0,0
GasGiant,Neptune,Sun,102,49528,1638,11,23.5,16.11,16.1,4495.1,0.03,0.042,4444.5,4545.7,59800,5.4,1.8,0.011,28.3,-200,-1,14,1,1,0.4,16.1,0.95,0.4,0.5,59800,0.3,0.5,1,5,2,11,4
Moon,Triton,Neptune,214,2706,2050,,,,16.1,0.35476,,,,,587.68,,157,0.00016,,,,,0,0,0,16.1,0,0,0,587.68,0.3,0.5,1,10,2,0,0
Dwarf,Pluto,Sun,0.0146,2370,2095,0.7,1.3,-153.29,153.3,5906.4,,,4436.8,7375.9,90560,4.7,17.2,0.244,122.5,-225,0,5,0,1,0.1,153.3,1.1,0,0,90560,0.2,0.4,1,6,1,0,0
Moon,Chiron,Pluto,214,2706,2050,,,,16.1,0.5,,,,,587.68,,157,0.00016,,,,,0,0,0,16.1,0,0,0,587.68,0.2,0.4,1,6,2,0,0
